original	translation
15492	
15493	
15494	
15496	
15497	
15498	
15499	
15500	
15501	
47896	
47897	
15503	
15504	
15505	
15506	
15507	
58284	
15508	
15509	
15510	
15511	
15512	
15513	
15514	
15515	
15516	
15517	
15518	
15519	
15520	
15521	
15522	
47898	
47899	
15524	
15525	
15526	
15527	
15528	
15529	
15530	
15531	
15532	
15533	
15534	
15535	
15536	
15537	
15538	
47900	
47901	
15540	
15541	
15542	
15543	
15544	
15545	
15546	
47902	
15548	
15549	
15550	
15551	
15552	
15553	
15554	
15555	
15556	
15557	
15558	
15559	
57053	
15561	
15562	
15563	
15564	
15565	
15566	
15567	
15568	
15569	
15570	
15571	
15572	
15573	
15574	
15575	
15576	
47904	
47905	
15578	
15579	
15580	
15581	
58603	
15582	
15583	
15584	
15585	
47906	
47907	
15587	
15588	
15589	
15590	
15591	
15592	
15593	
15594	
15595	
15596	
15597	
15598	
15599	
15600	
15601	
15602	
15603	
15604	
15605	
15606	
15607	
15608	
15609	
15610	
15611	
15612	
15613	
15614	
15615	
15616	
15617	
15618	
15619	
15620	
15621	
15622	
15623	
15624	
15625	
15626	
15627	
15628	
15629	
15630	
15631	
15632	
15633	
15634	
15635	
15636	
15637	
15638	
15639	
15640	
15641	
15642	
15643	
47908	
47909	
15645	
15646	
15647	
15648	
15649	
15650	
15651	
47910	
47911	
15653	
15654	
15655	
15656	
15657	
15658	
15659	
15660	
15661	
15662	
15663	
15664	
15665	
15666	
15667	
15668	
15669	
47912	
47913	
15671	
15672	
15673	
15674	
15675	
15676	
15677	
15678	
47914	
47915	
15680	
15681	
15682	
15683	
15684	
15685	
15686	
15687	
15688	
15689	
15690	
15691	
15692	
15693	
47916	
47917	
15696	
15697	
15698	
15699	
15700	
15701	
15702	
15704	
15705	
15707	
15708	
58699	
15711	
15712	
15713	
15714	
15715	
15716	
15717	
15718	
15719	
47922	
47923	
15721	
15722	
15723	
15724	
15725	
15726	
15727	
15728	
15729	
15730	
15731	
15732	
15733	
15734	
15735	
15736	
15737	
15738	
15739	
15740	
15741	
15742	
15743	
15744	
15745	
15746	
15747	
15748	
15749	
15750	
15751	
15752	
15753	
15754	
15755	
15756	
15757	
15758	
47924	
47925	
15760	
15761	
15762	
15763	
15764	
47926	
47927	
15766	
15767	
15768	
15769	
15770	
15771	
15772	
15773	
15774	
15775	
15776	
15777	
47928	
47929	
15779	
15780	
15781	
15782	
15783	
15784	
15785	
15786	
15787	
15788	
15789	
15790	
15791	
15792	
15793	
15794	
15795	
15796	
15797	
15798	
15799	
15800	
15801	
15802	
15803	
15804	
15805	
15806	
15807	
15808	
15809	
15810	
15811	
15812	
15813	
15814	
15815	
15816	
15817	
15818	
15819	
15820	
15821	
15822	
15823	
15824	
15825	
47930	
47931	
15827	
15828	
47932	
47933	
15830	
47934	
47935	
47936	
47937	
47938	
15833	
15834	
15835	
15836	
15837	
15838	
15839	
15840	
15841	
15842	
15843	
15844	
15845	
15846	
15847	
15848	
15849	
15850	
15851	
15852	
15853	
15854	
15855	
15856	
15857	
47939	
47940	
15859	
15860	
15861	
15862	
15863	
15864	
15865	
15866	
47941	
47942	
15868	
15869	
47943	
47944	
15871	
15872	
15873	
15874	
47945	
47946	
15876	
47947	
47948	
15878	
15879	
15880	
47949	
47950	
15882	
47951	
47952	
15884	
15885	
15886	
15887	
15888	
15889	
15890	
15891	
15892	
15893	
15894	
15895	
15896	
15897	
15898	
15899	
15901	
15902	
15903	
47955	
47956	
15906	
15907	
15908	
15909	
15910	
15911	
15912	
15913	
47957	
47958	
47959	
47960	
15916	
15917	
15918	
47961	
47962	
47963	
47964	
15921	
15922	
15923	
15924	
15925	
15926	
15927	
15930	
15931	
15932	
15933	
15934	
15935	
15936	
15937	
81732	
15938	
15939	
15940	
15941	
15942	
15943	
15944	
15945	
15946	
15947	
47968	
47969	
15949	
15950	
15951	
15952	
15953	
15954	
15955	
47970	
47971	
47972	
15957	
47973	
47974	
15959	
15960	
15961	
47975	
47976	
15963	
47977	
47978	
15965	
15966	
15967	
15968	
47979	
47980	
15970	
15971	
15972	
15973	
15974	
15975	
15976	
15977	
15978	
15979	
15980	
47981	
47982	
47983	
47984	
47985	
47986	
47987	
47988	
15983	
15984	
15985	
15986,15987	47162,47163
15988	47164
15989	47165
47989	47166
47990	47167
15991	47168
15992	47169
47991	47170
47992	47171
47993,47994	47172,47173
47995	47174
15994	47175
15995	47176
15996	47177
15997	52532
58746	52533
15998	47179
47996	47180
16000	47181
47998	47182
47999	
16002	
16003	
16004	
16005	
16006	
16007	
16008	
16009	
16010	
48000	
48001	
16012	
48002	
48003	
16014	
48004	
16016	
16017	
16018	
16019	
16020	
48006	
48007	
16022	
48008	
48009	
48010	
48011	
16025	
16026	
16027	
16028	
16029	
16030	
16031	
16032	
16033	
16034	
16035	
16036	
16037	
16038	
48012	
48013	
48014	
48015	
16041	
16042	
16043	
16044	
48016	
48017	
16046	
16047	
48018	
48019	
16049	
16050	
16051	
16052	
16053	
16054	
16055	
16056	
16057	
48020	
48021	
16059	
16060	
16061	
16062	
16063	
16064	
16065	
16066	
16067	
16068	
48022	
48023	
16070	
16071	
16072	
16073	
16074	
