original	translation
15844	51042,62930
15845,15846	39426
15847	51044
15848	39429,62931
15849	39430
15850	39431
15851	39432
15852	51046
15853	51048
15854	39435
15855	51049
15856	39437
15857	51052
47939	51054
47940	51055
15859	51056
15860	39441
15861	39442
15862	39443
15863	39444
15864	39445
15865	39446
15866	39447
47941	51058
47942	51059
15868	39449
15869	51060
47943	51061
47944	51062
15871	51063
15872	39451
15873	39452
15874	39453
47945	51064
47946	51065
15876	51066
47947,47948	51067
15878	39457
15879	39458,62935
15880	39459
47949	51068
47950	51069
15882	39461
47951	62936
47952	39462
15884	51070,51071
15885	39464
15886	39465
15887	39466
15888	39467
15889	39468
15890	39469
15891	39470
15892	39471
15893	39472
15894	39473
15895	39474
15896	39475
15897	39476
15898	39477
15899	39478
15901	39480
15902	39481
15903	39482
47955	62947
47956	51075
15906	51076
15907	39486
15908	39487
15909	39488
15910	39489
15911	39490
15912	39491
15913	51078
47957,47958	39493
47959,47960	39494
15916	39495
15917	39496
15918	51080
47961	51083
47962	51084,51085
47963	51086
47964	51087
15921	51088
15922	39501
15923	39502
15924	51090
15925	39504
15926	39505
15927	39506
15930	39510
15931	39511
15932	39512
15933	39513
15934	39514
15935	39515
15936	39516
15937	39517
81732	62950
15938	39518
15939	39519
15940	39520
15941	39521
15942	39522
15943	39523
15944	39524
15945	39525
15946	39526
15947	39527
47968	51092
47969	51093
15949	39529
15950,15951	51094,51095
15952	39532
15953	39533
15954	39534
15955	51096
47970	51097
47971,47972	51098
15957	39537
47973	51099
47974	51100
15959	39539
15960	39540
15961	39541
47975,47976	39542
15963	39543
47977	51101
47978	51102
15965	39545
15966,15967	39546,51103
15968	51104
47979,47980	39548
15970	39549
15971	39550
15972	39551
15973	39552
15974	39553
15975	39554
15976	39555
15977	39556
15978	39557
15979	39558
15980	51105
47981,47982	51106,39560
47983	51107
47984	51108
47985	51109
47986	51110
47987	51111
47988	51112
15983	39562
15984	39563
15985	39564
15986	39565
15987	39566
15988	39567
15989	39568
47989	51113
47990	51114
15991	39570
15992	39571
47991	51115
47992	51116
47993	51117
47994	51118
47995	51119
15994	51120
15995	51121
15996	39575
15997	51122
58746	51123
15998	39577
47996	39578
16000	39579
47998,47999	39580
16002	51124
16003	51125
16004	39583
16005	39584
16006	39585
16007	39586
16008	51126
16009	51127
16010	39588
48000	51128
48001	51129
16012	39590
48002	51130
48003	51131
16014	51132
48004	51133
16016	39593
16017	39595
16018	39596
16019	39597
16020	39598
48006	39599
48007	39600
16022	51134
48008	
48009	51135
48010,48011	39602
16025	39603
16026	39604
16027	39605
16028	39606
16029	39607
16030	39608
16031	39609
16032	39610
16033	39611
16034	39612
16035	39613
16036	39614
16037	51136
16038	51137
48012	39616
48013	39617,51138
48014	51139
48015	51140
16041	51141
16042	39619
16043	51142
16044	51143
48016,48017	39622
16046	39623
16047	39624
48018	39625
48019	51144
16049	51145
16050	39627
16051	39628
16052	39629
16053	51146
16054	51147,39631
16055	39632
16056	39633
16057	39634
48020	51148
48021	51149
16059	39636
16060	39637
16061	39638
16062	39639
16063	39640
16064	51150
16065	51151
16066	39643
16067	39644
16068	39645
48022,48023	39646
16070	39647
16071	39648
16072	39649
16073	39650
16074	39651
16075	39652,51152
16076	51153
16077	39654
48024	51154
48025	51155
16079	39656
16080	39657
16081	39658
16082	51156
16083	51157
16084	39660
16085	39661
16086	39662
48026	51158
48027	51159
16088	39664
16089	39665
16090	39666
16091	39667
16092	39668
16093	51160
16094	51161
16095	39671
16096	39672
16097	39673
16098	39674
16099	39675
16100	39676
16101	39677
16102	39678
16103	39680
16104	51162
16105	51163
16106	39682
16107	39683
16108	39684
16109	39685
16110	39686
16111	39687
16112	51164
16113	51165
48028	39689
48029	39690
16115	39691
16116	39692
16117	39693
16118	39694
16119	39695
16120	39696
16121	39697
48030	39698
48031	51166
48032	51167
48033	51168
16124	39700
16125	39701
16126	39702
16127	39703
16128	39704
16129,16130	51169,51170
48034	39707
48035	62963
48036	51171
48037	51172
16133	39709
48038	51173
48039	51174
16135	39711
48040	39712
48041	62964
16137	51176
16138	39714
16139	39715
16140	39716
16141	39719
16142	51177
16143	51178
16144	51179
16145	39721
16146	39722
16147	39723
16148	39724
16149	39725
16150	39726
16151	39727,39728
16152	39729
16153	39730
16154	39731
48042	51180
48043	51181
16156	39733
16157	39734
16158	39735
16159	39736
16160	39737
16161	39738
16162	39739
16163	39740
16164	39741
16165	39742
16166	39743
16167	39744
16168	39745
16169	39746
16170	39747
16171	51182
16172	51183
16173	39749
16174	39750
16175	39751
16176	39752
16177	39753
16178	39754
16179	39755
16180	39756
16181	39757
16182	39758
16183	39759
16184	39760
16185	39761
48044	51184
48045	51185
16187	39763
16188	39764
48046	51187
56952	39766
16190	39767
16191	51188
16192	51189
16193	39769
16194	39770
16195	39771
16196	39772
16197	39773
16198	39774
16199	39775
16200	51190,51191
16201	39777
48048	51192
48049,48050	51193
48051	39779
48052	51194
48053	51195
48054	51196
48055	51197
16206	39782
16207	39783
16208	39784
16209	39785
16210	39786
16211	62973
16212,62839	39788
16213	39789
16214	51198
48056,48057	51199
	39791
16216	39792
16217	39793
16218	39794
16219	39795
16220	39796
16221	39797
16222	39798
16223	39799
16224	39800
16225	39801
16226	39802
16227	39803
16228	51200
48058	51201
48059	39805
16230	39806
48060	62834
48061	62835
16232	51202
16233	51203
48062	51204
48063	51205
16235	39809
16236	39810
16237	39811
16238	62976
16239	39813
16240	39814
16241	39815
16242	39816
16243	39817
16244	51206
16245	51207
16246	39819,39820
48064	51208
56954	51209
48065	51210
16248	51211
16249	39823
16250	51212
16251	51213
16252	39825,39826
16253	51214
16254	51215
48066,48067	51216
16256	39829
16257	51217,51218
16258	51219,51220
16259	39832
16260	39833
16261	39834
48068	51221
48069	51222
16263	39836
16264	39837
16265	39838
16266	39839
6500	36359
6501	36360
6502	36361
47268	50211
47269	50212
6504	36363
6505	36364
6506	36365
6507	36366
6508	36367
47270,47271	36368
6510	50213,50214
6511	36370
6512	36371
47272	50215
47273	50216
6514	36373
6515	36374
6516	36375
6517	36376
6518	50217
6519	50218
6520	50219
6521	50220
6522	36381
6523	36382
6524	36383
6525	36384
6526	36385
6527	50221
6528	50222
6529	50223
	50224
6530,6531	50225,36389
47274	50226
47275	50227
6533	36391
6534	50228,50229
6535	36393
6536	36394
6537	36395
6538,6539	36396
6540	36398
6541	36399
6542	36400
6543	36401
6544	36402
6545	36403
6546	36404
6547	36405
6548	36406
6549	50230
57360	50231
6550	50232
6551	50233
6552	36410
6553	36411
47276	50234
47277	50235
6555	36413
47278	50236
47279	50237
6557	36415
6558	50238
6559	50239,50240,36417
6560	36418
6561	36419
6562	36420
6563	36421
6564	36422
6565	36423
6566	36424
6567	36425
6568,6569	36426
6570	36427
