original	translation
15330	13578,13579
15331	13580
15332	13581
15333	13582
15334	13583
15335	13584
15336	13585
15337	13586
15338	13587,13588
15339	13589
15340	13590,13591
15342	13592,13593
15343	13594
47871	13595
47872	13596
15345	13597
15346	13598
15347	13599
15348	13600,13601
15349	13602
15350	13603
15351	13604
15352	13605
15353	13606
15354	47537
15355	47538
15356	13608
15357	13609
15358	13610
15359	13611
15360	13612
15361	13613
15362	13614
15363	13615
15364	13616
15365	13617
15366	13618
15367	13619
15368	13620
15369	13621
15370	13622
15371	13623
15372	13625
15373	13626
15374	13627
15375	13628
15376	13629
15377	13630
15378	13631
15379,15380	13632,13633
15381	13634
15382	13635
15383	13636
15384	13637
15385	13638,13639
15386	13640,13641
15387	62959
15388	13642
15389	13643
15390	13644
15391	13645
15392	13646
15393	13647
47873	13648
47874	13649
15395	13650
15396	13651
15397	13652,13653
15398	13654,13655
15399	13656
15400	13657,13658
15401	13659,13660
47875	13661
47876	13662
47877	13663
47878	62927
15404	13664
47879	47539
47880,47881	47540
	13666
47882	13667,13668,13669
15407	13670
15408	13671
15409	13672
15410	13673
15411	13674
81936	13675
15412	13676
15413	13677
47883,47884	13678
15415	13679
15416	13680
15417	13681
15418	13682
15419	13683,13684
15420	13685
15421,47885,47886,47887	13686,13687
15423	13688
15424	13689
15425	13690
15426	13691
15427	13692
15428	13693,13694
15429	13695
15430	13696,13697,13698
15431	13699
15432	13700
15433	13701
15434,15435	13702,13703
15436	13704
15437,15438	47541,47542,13706
15439	13707
15440	13708
15441	13709
15442	13710
15443	13711
15444	13712
15445	13713,13714
15446	47543,47544
15447	13716
47888	13717,13718
47889	13719
15449	13720
15450	13721
15451	13722
15452	13723
15453	13724,13725
15454	13726
15455	13727
15456	13728
15457,15458	13729,13730,13731
15459	13732
15460	13733
15461	13734
15462	13735
15463	13736
15464	13737
15465	13738
15466	13739
15467	13740
15468	13741
15469	13742
15470	
15471	
15472	13743
15473	13745
15474	13746
15475	13747
15476	13748
15477	13749
15478	13750
15479	13751
15480	13752
15481	13753
47890,47891	13754
47892,47893	13755
	13756
47894	13757
47895	13758,13759
15485	13760
15486	13761
15487	13762
15488	13763
15489	
	13764
15490	13765
15491	13766
15492	13767
15493	13768
15494	13769,13770,13771
15496	13772
15497	13773,13774,13775
15498	13776
15499	13777
15500	13778
15501	13779
47896	13780
47897	62960
15503	13781
15504	13782
15505	13783
15506	13784
15507	62961
58284	13785
15508	13786
15509	13787
15510	13788
15511	13789
15512	13790
15513	13791
	13792
15514	13793
15515	13794
15516	13796
15517	13798
15518	13799
15519	13800
15520	13801
15521	13802
15522	13804
47898	13805
47899	62962,13806
15524	13807
15525	13808
15526	13809
15527	13810
15528	13811
15529	13812
15530	13813
15531	13815
15532	13816
15533	13817
15534	13818
15535	13819
15536	13820
15537	13821,13822
15538	13823
47900	13824
47901	13825
15540	13826,13827
15541	13828,13829
15542	13830,13831
15543	13832
15544	13833
15545	13834
15546	13835
47902,15548	13836
15549,15550	13837
15551	13839
15552	13840
15553	13841
15554	13842
15555	13843
15556	13844
15557	13845
15558	13846
15559	13847
57053	13848
15561	13849
15562	13850
	13851
15563	13852
15564	13853
15565	13854
15566	13855
15567	13856,13857,13858
15568	13859
15569	13860
15570	13861
15571	13862
15572	13863
15573	13864
15574	13865
15575	13866
15576	13867
47904	13868
47905	13869
15578	13870
15579	13871
15580	
15581	13872
	13873
58603	13874
15582	13875
15583	13876
15584	13877
15585	13878
47906	13879
47907	13880,13881
15587	13882
15588	13883
15589	13884
15590	13885
15591	13886,13887
15592	13888
15593	13889
15594	13890
15595	13891,13892
15596	13893
15597	13894
15598	13895
15599	13896
15600	13897
15601	13898
15602	13899
15603	13900
15604	13901
15605	13902
15606	13903
15607	13904
15608	13905,13906
15609	13907
15610	13908
15611,15612	13909,13910
15613	13911
15614	13912
15615	13913
15616	13914
15617	13915
15618	13916
15619	13917
15620	13918
15621	13919
15622	13920
15623	13921
15624	13922
15625	13923
15626	13924
15627	13925
15628	13926
15629	13927
	13928
15630	13929
15631,15632	13930
15633	13931
15634	13932
15635	13933
15636	13934
15637	13935
15638	13936
15639	13937
15640	13938
15641	13939
15642	13940
15643	13941
47908	13942
47909	13943
15645	13944
15646	13945
15647	13946,13947
15648	13948
15649	13949,13950
15650	13951
15651,47910	13952,13953
47911	13954
15653	13955
15654	13956
15655	13957
15656	13958
15657	13959
15658	13960
15659	13961
15660	13962,13963
15661	13964
15662	13966
15663	13967
15664	13968
15665	13969
15666	13970
15667	13971
15668	13972
15669	13973,13974,13975
47912	13976
47913	13977
15671	13978
15672	13979,13980,13981
15673	13982
15674	13983
15675	13984
15676	13985
15677	13986,13987
15678	13988
47914	13989
47915	13990
15680	13991,13992
15681	13993
15682	13996
15683	13997
15684	
	13998
15685	13999,14000
15686	14001,14002
15687	14003
15688	14004,14005
15689	14006
15690	14007
15691	14008
15692	14009
15693	14010
47916	14011
47917	62965
15696	62966
15697	14014
15698	14015
15699	14016
15700	14017
15701	14018,14019
15702	14020
15704	14022
	14023
	14024
15705	14025
15707,15708,58699	14026
15711	14027
15712	14028
15713	14029
15714	14030
15715	14031
15716,15717	14032
15718	14033
15719	14034
47922	14035
47923	14036
15721	14037
15722	14038
15723	14039
15724	62967
15725	14040
15726	14041
15727	14042
15728	47545
15729	47546
15730	14044
15731	14045
15732	14046
15733	14047
15734	14048
15735	14049
15736	14050
15737	14051
15738	14052
15739	14053
15740	14054
15741	47547
15742	47548,47549
15743	14056
15744	14057
15745	14058
15746	14059,14060
15747	14061
15748	14062
15749	14063
15750	14064
15751	14065
	14066
	14067
15752	14068
15753	14069
15754	14071
15755	14072
15756	14073
15757	14074
15758	14075
47924,47925	14076
15760	14077
15761	14078
15762	14080
15763	14081,14082
15764	14083
47926,47927	14084
15766	14085
15767	14086,14087
15768	14088
15769	14089
15770	14090
15771	14091
15772	14092
15773	14093
15774	14094
15775	14095
15776	14096
15777	14097
47928	14098
47929	14099
15779	47550
15780	47551
15781	14101
15782	14102
15783	14103
15784	14104
15785	14105
15786	14106
15787	14107
15788	14108
15789	14109
15790	14110,14111
15791	14112
15792	14113,14114
15793	14115
15794	14116
15795	14117,14118,14119
15796	14120
15797	14121
15798	14122
15799	14123
15800	14124
15801	14125
15802	14126,14127
15803	14128
15804	14129
15805	14130
15806	14131
15807	14132,14133
15808	14134
15809	14135
15810	14136
15811	14137
15812	14138
15813	14139
15814	14140
15815	14141
15816	14142
15817	14143
15818	14144
15819	14145
15820	14146
15821	14147
15822	14148
15823	14149
15824	14150
15825	14151,14152
47930	14153
47931	14154
15827	14155,14156
15828	14157
47932	14158
47933	14159
15830	14160
47934	14161
47935	14162
47936	14163
47937	47552
47938	47553
15833	14165
15834	14166
15835	14167,14168
15836	14169
15837	14170,14171
15838	14172
15839	58420
15840	14173
15841	14175
15842	14176
15843	14177
15844	14178
15845,15846	14181
15847	14182
15848	14183
15849	14185
15850	14186
15851	14187
15852	14188
15853	62968
15854	14189
15855	47556
15856	47557
15857	14191
47939	62969
47940	14192
15859	14193
15860	14194
15861	62970
15862	14195
15863	14196
15864	47558
15865	47559
15866	14198
47941	14199
47942	59997
15868	14200
15869	14201
47943	47560
47944	47561
15871	14203
15872	14204,14205
15873	14206
15874	14207
47945,47946	14208
15876	14209
47947,47948	14210
15878	14212
15879	14213
15880	14214
47949	14215
47950	14216
15882	14217
47951,47952	14218
15884	14219
15885	14220
15886	14221
15887	14222,14223
15888	14224
15889	14225
15890	14226
15891	14227
15892	14228,14229
15893	14230,14232,14233
15894,15895	14234
15896	14235
15897	14236
15898	14237
15899	14238
15901	14241,14242
15902	14243
15903	14244
47955	62971
47956	62972
15906	14246
15907	14248
15908	14249
15909	14250,14251,14252
15910	14253,14254
15911	14255
15912	14256
15913	14257
47957,47958	14258
47959	47562
47960	47563
15916	14260
15917	14261
15918	14262
47961	14264
47962	14265
47963	14266
47964	14267
15921	14268
15922	14269
15923	14270
15924	14272
15925	14273
15926	14274
15927	14275
15930	14280
15931	14281,14282
15932	14283
15933	14284
15934	14285
15935	14286
15936	14287
15937	47564
81732	47565
15938	14289
15939	14290
15940	14291
15941,15942,15943	14292,14293
15944	14294,14295
15945	14296
15946	14297
15947	14298
47968	47566
47969	47567
15949	14300
15950,15951	14301,14304
15952	14305
15953	14306
15954	14307
15955	14308
47970	47568
47971,47972	47569
15957	14310
47973,47974	14311,47570
15959	47571
15960	14313
15961	47572
47975,47976	47573
15963	14315
47977,47978	14316,47574
15965	47575
15966	14318
15967	14319,62974
15968	14320
47979,47980	14321
15970	14322
15971	14323
15972	14324
15973	14325
15974	14326
15975	14327
15976	14328
15977	14329
15978	14330
15979	14331,14332
15980	14333
47981,47982	14334,58313
47983	14335
47984	14336
47985	14337
47986	14338
47987	14339
47988	14340
15983	14341
15984,15985	14342
15986	14344
15987	14345
15988	14346
15989	14347
47989	14348
47990	62975
15991	14349
15992	14350
47991	14351
47992	14352
47993	14353
47994	14354
47995	14355
15994	14356
15995	14357
15996	14358
15997	14359
58746	14360
15998	14361,14362
47996	14363
16000	14365
